Source_Name,Column1
0001523+4020109,2
001145-005430,2
0018142+5357542,3
0027252+4544279,2
004730.3+154149,2
013924-092404,2
0147066+2338356,2
021106-003920,2
021405-001637,2
022505.5-003615,2
023301+002515,2
024240-000048,2
0243574+3848028,2
024440-090735,2
025329-001405,4
0258473+3543577,2
030349-010613,6
035220-005824,2
0437170+6637420,2
044313-150934,2
0532077+0110353,3
081847+243214,2
085618-002629,2
093159+512254,2
095846-283719,2
100031-191131,2
100131-200235,2
102859+273858,2
103723+021845,2
104245+265037,2
104458+260529,2
104812+263609,2
104812+283606,2
105550+312332,2
110047+104341,3
110105+294349,2
110133+293808,2
110338-005208,2
110819+295356,2
111018+281713,2
111143+233410,2
111256+282324,2
111302+284502,2
113543+254936,2
113704+240546,2
113834+252353,2
114117+204953,2
114430+221350,2
115340+233821,2
121857+471814,2
121950.9+273611,2
122436+551650,2
124329+292800,2
130117+535139,2
130125+291849,2
131407+300054,2
131612+340347,2
131831+541803,2
132014+335358,2
132330+344433,2
132442+290259,2
134101+300655,2
135536+055305,2
140316+383149,2
141223-270629,2
141442+030633,2
141927+261702,2
142110-291505,2
143239+361808,2
143642+395636,2
144238+241744,2
145835+445301,2
151135+023806,2
152412+083241,2
153917+242718,3
154304+511249,2
154639+032937,2
155756-055046,2
155859+483147,2
160000+273721,3
1605272+1749518,2
1605323+1956053,2
170201-094022,2
170558-105815,2
221957-073958,2
231923+010733,2
231925+055422,3
2324483+4407564,2
2326444+4718447,2
2MASXJ00283779-,2
2MASXJ02182216-,2
2MASXJ04252247+,2
2MASXJ08235499+,2
2MASXJ08362280+,2
2MASXJ10341656-,2
2MASXJ11165338+,3
2MASXJ11480062+,2
2MASXJ12221536+,2
2MASXJ13421251-,2
2MASXJ14325541+,2
2MASXJ15354308+,3
2MASXJ16090555+,2
2MASXJ19271951+,2
2MASXJ20005575-,2
2MASXJ20075129-,2
2MASXJ21075991-,2
2MASXJ21522605-,2
2MASXJ22594178-,2
2MFGC13581,2
3C317,2
3C403,18
3C445,2
3C465,2
B2_1553+24,2
calNGC3079,2
CG0457,2
CGCG004-040,2
CGCG004-098a,2
CGCG089-056NED0,2
CGCG120-039,3
CGCG1429.3+3327,2
CGCG148-108NED0,2
CGCG1548.4+4227,2
CGCG162-038NED0,2
CGCG207-060NED0,2
CGCG252-044,2
CGCG420-015,2
CGCG436-030,3
CGCG468-002NED0,3
CGCG469-002NED0,2
CGCG498-038,3
CygA,2
ESO-534-G9,2
ESO-548-G35,2
ESO417-G006,2
ESO438-G09,2
ESO446-G018,3
ESO535-G001,2
ESO538-G025,3
ESO540-G001,2
ESO540-G014,3
ESO558-G009,44
IC-193,2
IC-195,2
