# name_mcp          name_NED                   ra_mcp_1      dec_mcp_1      redshift_maser   Lum_dis   maser   L_12um_bestfit_1   chi2_maser   logL_OIII_C   ref_num_3  
  UGC12914          UGC12914                   0.409666667   23.48363889    0.01457          63.14     0       41.75              2.253        ---           ---        
  UGC12915          UGC12915                   0.424708333   23.49591667    0.01445          62.61     0       41.94              0.046        ---           ---        
  NGC7811           NGC7811                    0.610291667   3.351888889    0.0255           111.41    0       42.93              1.162        ---           ---        
  Mrk1501           Mrk1501                    2.629190833   10.975         0.08928          408.03    0       44.31              4.487        ---           ---        
  NGC17             NGC17                      2.777291667   -12.10725      0.01978          85.26     1       43.17              0.015        42.34         5          
  ESO540-G001       ESO540-G001                8.5575875     -21.43916667   0.02683          117.33    0       42.97              0.524        40.84         5          
  ESO350-IG038      ESO350-IG038               9.219583333   -33.55469444   0.0206           89.58     0       43.47              0.092        ---           ---        
  NGC185            NGC185                     9.741541667   48.33741667    -6.7E-4          0.6       0       39.25              0.082        ---           ---        
  NGC-192           NGC192                     9.805979167   0.864194444    0.01378          59.68     0       41.62              0.189        40.13         1          
  NGC214            NGC214                     10.3667875    25.49947222    0.01513          65.55     0       42.23              0.152        ---           ---        
  MCG-02-02-084     MCG-02-02-084              10.42919583   -9.439527778   0.05629          251.46    0       38.79              3.064        ---           ---        
  MESSIER031        MESSIER031                 10.68479292   41.26902778    -0.001           0.69      0       37.75              5.986        ---           ---        
  NGC235A           NGC232E                    10.72004167   -23.54111111   0.02221          96.8      2       43.44              0.973        ---           ---        
  NGC253            NGC253                     11.888        -25.28836111   8.0E-4           3.39      1       42.35              0.418        ---           ---        
  Mrk348            NGC262                     12.1964225    31.95694444    0.01502          65.11     3       43.61              2.57         41.95         3          
  UGC524            UGC524                     12.895875     29.40138889    0.03593          158.18    0       43.43              0.727        ---           ---        
  NGC291            NGC291                     13.37467083   -8.767777778   0.01902          82.7      2       42.25              0.391        41.36         1          
  IZw1              UGC545                     13.39558333   12.69336111    0.05886          263.42    0       44.96              1.61         41.50         5          
  NGC0315           NGC315                     14.45368042   30.3525        0.01647          71.47     0       42.41              2.674        ---           ---        
  Mrk352            Mrk352                     14.972        31.82691667    0.01485          64.37     0       42.12              1.545        38.97         4          
  UM85              UM85                       16.6885875    6.633888889    0.04097          181.03    0       43.39              1.407        ---           ---        
  ESO013-G012       ESO013-G012                16.75929167   -80.30775      0.01682          73.01     3       41.99              0.142        ---           ---        
  NGC-385           NGC385                     16.863525     32.31980556    0.01658          71.96     0       40.68              2.572        ---           ---        
  3C33              3C33                       17.22024167   13.30866667    0.05966          267.15    0       43.83              1.032        ---           ---        
  011248-001724     NGC426                     18.202525     -0.290194444   0.01733          75.25     0       42.09              1.584        40.20         1          
  MRK1152           MRK1152                    18.45865417   -14.84558333   0.05267          234.69    0       43.92              0.424        ---           ---        
  MARK975           UGC774                     18.46262083   13.27172222    0.0496           220.53    0       44.38              2.316        ---           ---        
  IC1657            IC1657                     18.52925      -32.65083333   0.01194          51.64     0       41.95              0.111        ---           ---        
  011429+001254     2MASXJ01142985+0012546     18.62440833   0.215194444    0.046            195.53    0       40.72              0.045        40.88         1          
  UGC793NED01       UGC793NED01                18.70280833   -0.496111111   0.03395          149.25    0       43.09              0.472        39.77         1          
  Mrk1              NGC449                     19.03020417   33.08947222    0.01593          69.1      2       43.1               0.02         ---           ---        
  NGC-452           NGC452                     19.06179167   31.03383333    0.01654          71.78     0       42.22              1.207        ---           ---        
  NGC-470           NGC470                     19.936875     3.409944444    0.00792          34.11     0       41.88              0.085        ---           ---        
