# name_mcp_2_1      name_NED_2                 ra_mcp_1      dec_mcp_1      Lob     Lint    logNH   logNH_u   logNH_l   gamma_2   gamma_u   gamma_l   xmm_chi2   xmm_model   ref_xray      ref_xray_num   gamma2_med   gamma2_hi            gamma2_lo  
  UGC12914          UGC12914                   0.409666667   23.48363889    40.29   40.29   20.11   0.0       0.0       1.68      2.04      1.4       0.973      0           xmm           2              0.0          0.0                  0.0        
  UGC12915          UGC12915                   0.424708333   23.49591667    40.24   40.24   20.14   0.0       0.0       1.78      2.26      1.55      1.026      0           xmm           2              0.0          0.0                  0.0        
  NGC7811           NGC7811                    0.610291667   3.351888889    42.85   42.85   20.0    20.0      20.0      2.23      2.29      2.17      -99.0      -99         swift         1              0.0          0.0                  0.0        
  Mrk1501           Mrk1501                    2.629190833   10.975         44.19   44.19   21.04   21.11     21.0      1.73      1.76      1.66      -99.0      -99         swift         1              0.0          0.0                  0.0        
  NGC17             NGC17                      2.777291667   -12.10725      41.43   41.44   20.98   0.0       0.0       0.51      0.67      0.31      1.172      3           xmm           2              0.0          0.0                  0.0        
  ESO540-G001       ESO540-G001                8.5575875     -21.43916667   41.74   41.74   20.0    0.0       0.0       1.97      2.02      1.92      1.16       0           xmm           2              0.0          0.0                  0.0        
  ESO350-IG038      ESO350-IG038               9.219583333   -33.55469444   40.95   40.95   20.37   0.0       0.0       2.17      2.34      1.97      1.814      0           xmm           2              0.0          0.0                  0.0        
  NGC185            NGC185                     9.741541667   48.33741667    34.97   34.97   20.98   21.43     20.91     -99.0     -99.0     -99.0     1.272      1           xmm           2              0.0          0.0                  0.0        
  NGC-192           NGC192                     9.805979167   0.864194444    40.29   40.29   21.41   21.48     21.32     1.44      1.72      1.2       1.193      2           xmm           2              0.0          0.0                  0.0        
  NGC214            NGC214                     10.3667875    25.49947222    40.8    40.8    20.11   0.0       0.0       0.98      1.21      0.77      2.341      0           xmm           2              0.0          0.0                  0.0        
  MCG-02-02-084     MCG-02-02-084              10.42919583   -9.439527778   41.86   41.86   20.99   21.0      0.0       -99.0     -99.0     -99.0     1.2        1           xmm           2              0.0          0.0                  0.0        
  MESSIER031        MESSIER031                 10.68479292   41.26902778    37.6    37.6    20.0    20.57     19.1      1.89      2.06      1.73      1.202      2           xmm           2              0.0          0.0                  0.0        
  NGC235A           NGC232E                    10.72004167   -23.54111111   42.65   43.22   23.5    23.57     23.43     1.76      1.87      1.34      -99.0      -99         swift         1              0.0          0.0                  0.0        
  NGC253            NGC253                     11.888        -25.28836111   39.5    39.51   21.3    21.32     21.28     2.13      2.16      2.1       1.886      0           xmm           2              0.0          0.0                  0.0        
  Mrk348            NGC262                     12.1964225    31.95694444    43.14   43.44   23.12   23.15     23.1      1.51      1.63      1.39      -99.0      -99         swift         1              0.0          0.0                  0.0        
  UGC524            UGC524                     12.895875     29.40138889    42.99   42.99   20.0    20.0      20.0      1.68      1.79      1.57      -99.0      -99         swift         1              0.0          0.0                  0.0        
  NGC291            NGC291                     13.37467083   -8.767777778   40.83   40.83   20.0    0.0       0.0       1.33      1.54      0.97      1.145      0           xmm           2              0.0          0.0                  0.0        
  IZw1              UGC545                     13.39558333   12.69336111    43.64   43.63   20.0    20.06     19.83     2.02      2.03      2.01      1.26       2           xmm           2              0.0          0.0                  0.0        
  NGC0315           NGC315                     14.45368042   30.3525        41.63   41.67   21.71   21.85     21.51     2.03      2.17      1.9       1.354      3           xmm           2              0.0          0.0                  0.0        
  Mrk352            Mrk352                     14.972        31.82691667    42.74   42.74   20.0    20.0      20.0      1.92      1.95      1.9       -99.0      -99         swift         1              0.0          0.0                  0.0        
  UM85              UM85                       16.6885875    6.633888889    42.82   43.41   23.81   24.03     23.56     2.22      2.35      1.46      -99.0      -99         swift         1              0.0          0.0                  0.0        
  ESO013-G012       ESO013-G012                16.75929167   -80.30775      40.01   40.02   20.25   0.0       0.0       1.56      1.85      1.27      1.024      0           xmm           2              0.0          0.0                  0.0        
  NGC-385           NGC385                     16.863525     32.31980556    39.64   39.65   20.06   0.0       0.0       2.73      3.09      2.56      1.123      0           xmm           2              0.0          0.0                  0.0        
  3C33              3C33                       17.22024167   13.30866667    43.12   44.16   23.89   24.0      23.79     1.33      -99.0     -99.0     -99.0      -99         Noguchi09     12             0.0          0.0                  0.0        
  011248-001724     NGC426                     18.202525     -0.290194444   41.19   41.19   20.1    21.11     0.0       2.3       2.43      2.19      1.174      0           xmm           2              0.0          0.0                  0.0        
  MRK1152           MRK1152                    18.45865417   -14.84558333   43.47   43.47   20.0    20.0      20.0      1.82      2.1       1.76      -99.0      -99         swift         1              0.0          0.0                  0.0        
