# name_mcp          name_NED                   ra_mcp        dec_mcp        redshift_maser   Lum_dis   maser   L_12um_bestfit   chi2_maser   logL_OIII_C   ref_num   w1mpro   w1sigmpro   w2mpro   w2sigmpro   w3mpro   w3sigmpro   w4mpro   w4sigmpro  
  UGC12914          UGC12914                   0.409666667   23.48363889    0.01457          63.14     0       41.75            2.253        ---           ---       10.278   0.022       10.249   0.021       7.782    0.021       5.342    0.038      
  UGC12915          UGC12915                   0.424708333   23.49591667    0.01445          62.61     0       41.94            0.046        ---           ---       10.353   0.02        10.068   0.019       6.14     0.014       3.682    0.026      
  NGC7811           NGC7811                    0.610291667   3.351888889    0.0255           111.41    0       42.93            1.162        ---           ---       10.756   0.023       10.126   0.02        6.965    0.017       4.773    0.028      
  Mrk1501           Mrk1501                    2.629190833   10.975         0.08928          408.03    0       44.31            4.487        ---           ---       10.343   0.022       9.421    0.02        6.891    0.017       4.435    0.024      
  NGC17             NGC17                      2.777291667   -12.10725      0.01978          85.26     1       43.17            0.015        42.34         5         9.871    0.022       9.336    0.02        5.008    0.015       1.716    0.013      
  ESO540-G001       ESO540-G001                8.5575875     -21.43916667   0.02683          117.33    0       42.97            0.524        40.84         5         10.421   0.022       10.072   0.02        5.845    0.015       3.364    0.021      
  ESO350-IG038      ESO350-IG038               9.219583333   -33.55469444   0.0206           89.58     0       43.47            0.092        ---           ---       10.627   0.022       9.291    0.019       4.835    0.014       1.479    0.017      
  NGC185            NGC185                     9.741541667   48.33741667    -6.7E-4          0.6       0       39.25            0.082        ---           ---       11.476   0.027       11.423   0.026       9.194    0.035       7.535    0.116      
  NGC-192           NGC192                     9.805979167   0.864194444    0.01378          59.68     0       41.62            0.189        40.13         1         9.926    0.022       9.745    0.019       6.133    0.016       3.737    0.026      
  NGC214            NGC214                     10.3667875    25.49947222    0.01513          65.55     0       42.23            0.152        ---           ---       10.349   0.023       10.218   0.02        7.151    0.016       5.0      0.03       
  MCG-02-02-084     MCG-02-02-084              10.42919583   -9.439527778   0.05629          251.46    0       38.79            3.064        ---           ---       12.049   0.022       12.118   0.024       11.624   0.26        8.355    -999.0     
  MESSIER031        MESSIER031                 10.68479292   41.26902778    -0.001           0.69      0       37.75            5.986        ---           ---       5.819    0.045       6.635    0.019       5.852    0.015       4.329    0.03       
