count2019, Source_Name, RA, Dec, Velo, Date-Obs, Tsys, Int, Rms1, Vlo1, Vhi1, Rms2, Vlo2, Vhi2
1,RXSJ00001+0523,0.0490833,5.38817,11992,2016-02-12,51.3,3,10.9,10631,13365,?,?,?
2,KUG2358+330,0.242083,33.3439,12921,2012-11-17,36.5,8,4.0,11461,14395,?,?,?
3,0001233+4733537,0.347083,47.5649,5237,2010-11-02,39.5,10,3.6,3848,6639,3.5,6358,9196
4,NGC-7805,0.3615,31.4337,4850,2006-01-05,43.8,5,6.0,3464,6248,5.6,5968,8799
5,NGC-7806,0.37525,31.4419,4768,2006-01-05,42.2,5,6.1,3383,6166,5.4,5885,8715
6,0001383+2329011,0.409667,23.4836,4382,2010-12-24,38.9,10,3.8,3000,5776,4.1,5497,8319
7,0001419+2329452,0.424583,23.4958,4393,2010-12-24,38.3,10,3.5,3011,5787,3.7,5508,8330
8,UGC12915,0.424667,23.4959,4336,2005-02-02,27.1,28,1.5,3994,6788,?,?,?
9,0001523+4020109,0.467917,40.3363,13568,2010-11-13,36.9,10,3.1,12102,15048,3.1,14751,17747
10,0001523+4020109,0.467917,40.3364,13568,2010-11-29,45.1,10,4.1,12102,15048,3.9,14751,17747
11,CGCG517-014,0.493708,36.6492,9609,2012-11-17,38.8,10,3.8,8179,11051,?,?,?
12,NGC7811,0.610292,3.35189,7650,2013-12-24,41.9,9,4.4,6238,9074,?,?,?
13,Mrk334,0.791458,21.9605,6600,2003-04-27,28.1,36,1.8,5198,8014,?,?,?
14,UM016,0.79175,4.74894,17358,2005-09-28,45.6,44,2.0,16982,20021,?,?,?
15,NGC7814,0.812083,16.1456,1050,2010-04-11,34.9,10,3.1,-301,2414,3.2,2140,4900
16,UGC13,0.871667,27.3516,7690,2010-04-11,31.9,10,2.9,6278,9115,2.6,8829,11713
17,NGC7808,0.88375,-10.7447,8787,2016-02-04,44.3,10,4.4,7454,10132,?,?,?
18,MRK335,0.938375,20.2029,7735,2009-01-22,38.6,10,3.6,6323,9160,3.5,8874,11759
19,NGC-7817,0.995458,20.7523,2309,2005-12-14,42.4,5,5.4,946,3684,6.3,3408,6192
20,NGC-7819,1.10225,31.472,4958,2006-01-05,39.7,5,5.9,3571,6357,5.2,6077,8910
21,000435+005055,1.14675,0.848611,6295,2006-03-29,46.5,10,4.2,4896,7707,4.1,7424,10281
22,Mrk335,1.58137,20.2029,7730,2012-11-15,35.7,10,3.7,6318,9155,?,?,?
23,Mrk335,1.58137,20.2029,7730,2011-02-23,40.2,10,3.6,6318,9155,3.3,8869,11754
24,J0006+1419,1.58171,14.3274,5452,2014-11-03,50.8,10,5.8,4061,6856,?,?,?
25,UGC46,1.59042,17.4336,5506,2010-01-15,36.3,10,3.2,4114,6910,2.8,6629,9472
26,UGC00047,1.65983,17.2842,873,2003-12-22,33.3,28,1.8,537,3268,?,?,?
27,UGC00050,1.66733,26.1545,7552,2005-02-01,26.8,24,1.6,7202,10056,?,?,?
28,UGC52,1.70617,8.62853,5257,2007-12-20,52.2,10,5.1,3867,6659,4.7,6378,9217
29,NGC-1,1.81596,27.7081,4545,2005-12-14,41.1,5,5.9,3162,5941,6.7,5661,8486
30,2MASXJ00082041+,2.08542,40.6325,13389,2013-05-03,69.4,10,7.7,11925,14867,?,?,?
31,NGC-12,2.18671,4.61247,3940,2005-10-02,60.6,5,8.3,3802,6592,9.1,1333,4078
32,NGC-13,2.19887,33.4333,4808,2006-10-30,41.4,5,6.0,3422,6206,5.2,5926,8755
33,NGC-9,2.22787,23.817,4528,2005-12-14,41.8,5,5.6,3145,5923,5.4,5644,8468
34,NGC-16,2.26783,27.7294,3056,2005-12-14,42.2,5,5.6,1686,4438,5.1,4161,6958
35,2MASXJ00090793+,2.28292,14.4655,12423,2013-12-24,38.8,10,3.8,10967,13892,?,?,?
36,J0009+1427,2.28292,14.4655,12429,2014-11-03,47.7,10,4.9,10973,13898,?,?,?
37,UGC85,2.36937,47.3558,5153,2009-04-13,63.4,20,4.2,3764,6554,4.3,6273,9109
38,NGC23,2.47254,25.9238,4566,2009-11-28,34.7,20,2.3,3183,5962,?,?,?
39,NGC-23,2.47254,25.9238,4565,2006-11-26,44.5,35,2.4,3182,5961,2.2,5681,8506
40,NGC23,2.47254,25.9238,4566,2006-10-04,68.5,80,3.0,3183,5962,?,?,?
41,NGC-23,2.47258,25.9238,4565,2005-12-14,41.3,5,5.8,3182,5961,5.1,5681,8506
42,NGC-23,2.47258,25.9238,4565,2005-12-18,44.2,30,2.5,3182,5961,2.3,5681,8506
43,UM207,2.52762,-0.435944,9648,2010-01-10,25.2,10,2.1,8218,11091,2.1,10802,13723
44,MARK937,2.54162,-4.71056,8846,2016-02-04,42.5,10,4.4,7512,10192,?,?,?
45,Mrk937,2.54171,-4.71053,8851,2003-11-01,60.4,24,4.1,7428,10286,?,?,?
46,NGC-26,2.60775,25.8318,4589,2005-12-14,41.2,5,5.7,3205,5985,5.1,5705,8531
47,Mrk1501,2.62912,10.975,26783,2016-02-12,48.0,6,6.6,25290,28290,?,?,?
48,NGC-21,2.69537,33.3528,4859,2006-10-30,41.1,5,5.9,3473,6257,5.2,5977,8808
49,NGC-29,2.69546,33.3528,4589,2006-10-30,41.7,5,5.8,3205,5985,5.2,5705,8531
50,ESO538-G025,2.72579,-21.0675,7768,2011-10-10,62.1,10,6.6,6355,9193,?,?,?
51,ESO538-G025,2.72625,-21.0675,7768,2012-05-11,55.0,8,6.5,6356,9193,?,?,?
52,ESO538-G025,2.72625,-21.0675,7768,2012-11-16,53.7,10,5.4,6355,9193,?,?,?
53,NGC17,2.77704,-12.1073,5931,2009-01-08,40.4,10,3.8,4535,7339,3.7,7057,9908
